sector,age,gender,origin_region,italian_region,years_in_italy,italian_language_level,weekly_work_hours,knows_stp_rights,has_used_stp,er_only_healthcare,workplace_injury_12m,unmet_healthcare_need,fear_of_deportation
Hospitality,22,Male,South Asia,Piemonte,1.7,Basic,47,0,0,1,0,1,0
Gig Economy,39,Male,South Asia,Lazio,7.3,None,41,0,0,1,0,1,0
Gig Economy,40,Female,Sub-Saharan Africa,Veneto,0.5,Basic,41,0,0,1,0,0,0
Agriculture,26,Male,North Africa,Calabria,11.4,None,65,0,0,1,0,1,1
Agriculture,43,Female,North Africa,Toscana,17.2,Fluent,54,1,0,0,0,1,1
Domestic Work,29,Male,Latin America,Sicilia,0.5,Basic,39,1,0,1,0,0,1
Gig Economy,34,Male,Eastern Europe,Campania,1.4,None,55,0,0,1,0,1,1
Logistics,34,Female,North Africa,Piemonte,1.9,Basic,60,1,1,1,0,0,0
Construction,30,Male,Sub-Saharan Africa,Lombardia,6.0,Intermediate,62,1,0,1,0,1,1
Logistics,38,Female,Sub-Saharan Africa,Lombardia,3.6,Intermediate,62,0,0,0,0,1,0
Gig Economy,38,Male,Latin America,Lazio,4.1,Basic,43,0,0,1,1,1,1
Hospitality,18,Female,South Asia,Campania,5.7,Intermediate,55,1,0,1,0,0,1
Hospitality,42,Male,South Asia,Sicilia,0.5,None,56,1,0,1,1,1,1
Domestic Work,18,Male,Latin America,Lazio,7.2,None,40,0,0,1,0,0,1
Construction,40,Female,North Africa,Emilia-Romagna,4.9,None,46,0,0,1,0,0,1
Agriculture,41,Female,South Asia,Toscana,3.4,None,54,0,0,1,0,1,1
Gig Economy,23,Female,Sub-Saharan Africa,Emilia-Romagna,8.8,Fluent,66,0,0,0,1,1,1
Hospitality,28,Female,Middle East,Campania,4.8,Fluent,51,0,0,1,0,1,1
Hospitality,23,Female,Southeast Asia,Emilia-Romagna,0.9,None,64,0,0,1,0,0,1
Logistics,30,Male,Eastern Europe,Lazio,2.2,Basic,54,0,0,0,0,1,1
Gig Economy,29,Male,North Africa,Lombardia,2.7,None,57,0,0,1,0,1,1
Agriculture,38,Male,North Africa,Calabria,0.5,Basic,67,0,0,1,1,1,1
Agriculture,42,Male,Middle East,Lombardia,12.4,Basic,67,0,0,0,1,0,1
Logistics,43,Male,Middle East,Lombardia,0.6,Basic,61,0,0,1,0,1,1
Domestic Work,27,Male,Sub-Saharan Africa,Sicilia,4.8,Fluent,59,0,0,1,0,1,1
Agriculture,30,Male,Latin America,Lazio,2.8,None,63,0,0,1,0,1,1
Gig Economy,18,Female,Sub-Saharan Africa,Emilia-Romagna,0.5,Basic,63,0,0,1,0,1,1
Agriculture,25,Male,Sub-Saharan Africa,Lazio,10.3,None,47,0,0,1,0,1,1
Gig Economy,39,Male,Eastern Europe,Campania,7.6,Intermediate,52,0,0,1,0,1,1
Hospitality,44,Male,North Africa,Lazio,3.0,None,57,0,0,1,0,0,0
Logistics,22,Female,Middle East,Lazio,1.0,Basic,50,0,0,0,0,0,1
Construction,27,Female,South Asia,Campania,0.5,None,59,0,0,1,1,0,1
Hospitality,31,Female,North Africa,Toscana,1.8,Basic,43,0,0,1,0,0,0
Hospitality,34,Male,Southeast Asia,Veneto,1.2,Basic,49,1,0,1,0,0,1
Hospitality,25,Male,Southeast Asia,Puglia,2.8,Basic,39,0,0,1,1,0,0
Hospitality,35,Male,South Asia,Lombardia,13.6,Intermediate,67,0,0,1,0,1,1
Domestic Work,28,Male,Sub-Saharan Africa,Veneto,3.4,Fluent,46,1,0,0,0,1,1
Agriculture,31,Male,Eastern Europe,Emilia-Romagna,8.8,Intermediate,77,0,0,1,0,1,0
Gig Economy,36,Male,South Asia,Puglia,4.2,Basic,56,0,0,1,0,1,1
Hospitality,32,Male,Middle East,Lombardia,2.6,None,58,1,0,1,0,0,1
Gig Economy,28,Female,Southeast Asia,Emilia-Romagna,7.7,Fluent,45,1,0,1,0,1,1
Gig Economy,31,Female,South Asia,Sicilia,2.5,Basic,41,0,0,1,0,1,1
Hospitality,31,Male,South Asia,Lazio,8.1,Intermediate,59,1,0,1,0,0,1
Gig Economy,29,Male,South Asia,Sicilia,1.4,None,49,0,0,0,1,1,1
Logistics,29,Male,Southeast Asia,Lombardia,0.6,None,47,0,0,1,0,1,1
Agriculture,44,Male,Sub-Saharan Africa,Toscana,7.7,Basic,47,0,0,0,0,1,0
Agriculture,36,Female,North Africa,Puglia,3.5,Fluent,52,1,1,0,0,1,1
Hospitality,29,Male,North Africa,Emilia-Romagna,8.8,Fluent,69,1,0,0,0,0,0
Logistics,37,Female,North Africa,Campania,11.1,Basic,75,0,0,1,0,1,1
Agriculture,29,Male,South Asia,Lombardia,0.5,Basic,61,0,0,0,0,1,1
Gig Economy,41,Female,Sub-Saharan Africa,Puglia,2.8,None,51,0,0,1,0,1,0
Domestic Work,34,Male,Middle East,Veneto,1.9,Basic,45,0,0,1,0,0,1
Agriculture,31,Female,Southeast Asia,Lombardia,3.9,Fluent,52,0,0,1,0,1,0
Hospitality,35,Male,Latin America,Toscana,6.3,Intermediate,66,1,0,0,0,0,1
Hospitality,19,Female,South Asia,Veneto,1.3,Basic,69,0,0,1,0,0,1
Agriculture,22,Male,Sub-Saharan Africa,Lombardia,3.3,Basic,52,1,0,1,0,1,0
Hospitality,22,Male,Eastern Europe,Lazio,4.9,Intermediate,54,0,0,1,0,1,1
Gig Economy,33,Female,Sub-Saharan Africa,Lombardia,0.6,Basic,46,0,0,1,0,0,1
Domestic Work,45,Female,Southeast Asia,Emilia-Romagna,6.7,Intermediate,44,1,0,1,0,1,1
Gig Economy,49,Female,Eastern Europe,Emilia-Romagna,3.7,Basic,59,0,0,1,0,1,0
Logistics,37,Female,South Asia,Veneto,11.9,Intermediate,47,0,0,1,0,1,1
Agriculture,36,Female,Southeast Asia,Piemonte,1.7,Fluent,63,0,0,0,0,0,1
Gig Economy,18,Male,Middle East,Sicilia,0.5,Basic,55,0,0,1,1,1,1
Gig Economy,27,Male,South Asia,Emilia-Romagna,2.8,Basic,48,0,0,0,1,0,0
Domestic Work,25,Male,North Africa,Lombardia,0.5,Basic,55,0,0,1,0,0,1
Logistics,27,Female,Sub-Saharan Africa,Toscana,14.0,Fluent,59,1,0,1,1,0,1
Domestic Work,30,Male,Sub-Saharan Africa,Campania,0.5,None,57,1,0,1,0,1,1
Domestic Work,28,Male,South Asia,Veneto,5.6,Basic,35,0,0,1,0,1,1
Hospitality,18,Male,North Africa,Emilia-Romagna,3.0,Intermediate,52,0,0,0,0,1,1
Hospitality,37,Female,Middle East,Campania,1.8,Basic,54,0,0,1,0,1,1
Hospitality,23,Male,North Africa,Puglia,0.5,Basic,33,0,0,1,1,1,1
Hospitality,33,Male,South Asia,Lombardia,3.9,Fluent,46,1,0,0,0,1,1
Hospitality,48,Male,Eastern Europe,Toscana,3.5,Basic,48,0,0,1,0,1,1
Agriculture,24,Male,Sub-Saharan Africa,Lombardia,1.3,None,67,0,0,1,0,1,1
Hospitality,18,Male,Southeast Asia,Puglia,9.6,Fluent,49,1,1,0,0,1,0
Logistics,29,Female,North Africa,Lombardia,1.5,Basic,51,0,0,1,0,0,1
Construction,40,Male,Sub-Saharan Africa,Lombardia,2.4,Basic,61,0,0,1,0,0,1
Hospitality,47,Female,Sub-Saharan Africa,Lazio,3.1,Intermediate,42,0,0,0,0,0,0
Construction,22,Male,Latin America,Campania,0.5,Basic,38,0,0,1,0,1,1
Logistics,35,Female,Sub-Saharan Africa,Lazio,10.8,Basic,55,0,0,1,0,0,1
Hospitality,28,Male,Latin America,Emilia-Romagna,1.9,Intermediate,43,0,0,1,0,1,0
Agriculture,31,Male,Sub-Saharan Africa,Campania,0.5,Basic,48,0,0,1,0,1,1
Agriculture,53,Female,Sub-Saharan Africa,Lombardia,2.0,Basic,64,0,0,1,0,1,1
Domestic Work,19,Male,North Africa,Lazio,3.7,Basic,55,0,0,0,0,1,1
Agriculture,34,Male,Middle East,Piemonte,2.9,None,66,0,0,1,0,1,1
Construction,35,Female,Middle East,Toscana,4.7,None,63,0,0,0,0,1,0
Logistics,40,Male,Sub-Saharan Africa,Toscana,0.5,None,67,1,0,1,1,1,1
Hospitality,32,Female,Sub-Saharan Africa,Toscana,1.3,Basic,37,0,0,1,1,0,1
Construction,34,Male,South Asia,Lazio,6.8,Fluent,58,0,0,1,0,0,0
Construction,28,Female,North Africa,Lombardia,0.5,Basic,50,0,0,1,0,0,0
Domestic Work,34,Male,North Africa,Lazio,7.7,Intermediate,42,1,0,0,0,0,0
Gig Economy,29,Male,Southeast Asia,Sicilia,0.5,Basic,54,0,0,1,1,1,1
Logistics,36,Male,Middle East,Calabria,7.2,Basic,44,0,0,1,0,1,1
Construction,29,Male,Sub-Saharan Africa,Veneto,1.8,Fluent,40,1,0,1,0,0,1
Logistics,35,Male,North Africa,Lombardia,3.8,Basic,63,0,0,0,0,1,1
Domestic Work,31,Male,Southeast Asia,Lombardia,0.7,None,51,0,0,1,0,0,1
Domestic Work,41,Male,Latin America,Lazio,0.5,None,49,0,0,1,0,1,1
Gig Economy,31,Male,South Asia,Emilia-Romagna,1.0,Intermediate,42,0,0,1,0,1,1
Construction,18,Male,Sub-Saharan Africa,Lombardia,0.5,Intermediate,60,1,1,1,0,1,1
Construction,42,Female,North Africa,Puglia,1.5,None,60,0,0,1,1,0,1
Hospitality,24,Male,Sub-Saharan Africa,Campania,2.9,Intermediate,55,0,0,1,0,1,1
Domestic Work,26,Male,Sub-Saharan Africa,Puglia,3.6,Basic,38,0,0,1,0,1,1
Gig Economy,27,Male,South Asia,Piemonte,6.2,None,46,0,0,1,0,1,1
Construction,42,Male,Eastern Europe,Piemonte,4.3,Intermediate,61,0,0,1,0,0,1
Logistics,18,Female,Sub-Saharan Africa,Emilia-Romagna,3.8,Fluent,68,1,1,0,0,0,0
Domestic Work,57,Male,South Asia,Emilia-Romagna,2.1,Basic,45,1,1,0,0,1,0
Logistics,40,Female,Sub-Saharan Africa,Emilia-Romagna,2.6,Basic,56,0,0,1,0,1,1
Hospitality,33,Male,Latin America,Emilia-Romagna,2.1,Intermediate,53,0,0,1,0,0,1
Domestic Work,31,Female,Southeast Asia,Veneto,7.4,Fluent,50,0,0,1,0,1,1
Hospitality,34,Male,North Africa,Calabria,1.0,Intermediate,50,0,0,1,0,0,1
Logistics,36,Female,North Africa,Toscana,0.5,Basic,34,1,0,0,1,1,1
Domestic Work,37,Male,Middle East,Piemonte,4.2,Fluent,57,1,0,1,0,0,1
Domestic Work,36,Male,Sub-Saharan Africa,Sicilia,0.9,Fluent,62,1,0,0,1,0,1
Gig Economy,32,Male,Sub-Saharan Africa,Lazio,8.8,Basic,45,0,0,1,0,1,1
Agriculture,30,Male,Sub-Saharan Africa,Lombardia,7.8,Fluent,51,0,0,1,0,0,1
Gig Economy,30,Female,South Asia,Veneto,0.5,None,48,0,0,1,1,1,1
Logistics,30,Male,Sub-Saharan Africa,Veneto,0.5,None,56,0,0,1,0,1,1
Logistics,41,Male,Southeast Asia,Sicilia,2.7,Basic,65,0,0,1,0,1,1
Agriculture,36,Female,Eastern Europe,Campania,3.8,None,60,1,0,0,0,0,1
Construction,18,Male,North Africa,Emilia-Romagna,1.3,Basic,48,0,0,1,0,1,1
Construction,37,Female,Middle East,Veneto,5.0,Fluent,44,1,1,1,0,1,0
Construction,33,Female,South Asia,Lombardia,3.6,Basic,61,0,0,1,1,1,0
Hospitality,31,Male,Sub-Saharan Africa,Emilia-Romagna,1.6,Basic,59,0,0,0,0,1,0
Gig Economy,28,Female,North Africa,Sicilia,0.5,Intermediate,58,0,0,1,0,1,1
Hospitality,40,Male,Eastern Europe,Lombardia,5.5,Basic,47,0,0,1,0,1,1
Gig Economy,39,Male,South Asia,Emilia-Romagna,1.0,Basic,64,1,0,1,0,1,1
Gig Economy,25,Male,North Africa,Emilia-Romagna,7.2,Intermediate,36,0,0,1,0,1,0
Domestic Work,35,Male,Eastern Europe,Lombardia,2.2,Basic,53,0,0,1,0,0,1
Logistics,24,Female,Eastern Europe,Lombardia,3.4,Intermediate,42,0,0,1,0,1,1
Hospitality,20,Female,Eastern Europe,Calabria,8.3,Fluent,48,1,0,1,0,1,1
Hospitality,26,Male,Sub-Saharan Africa,Campania,8.0,Intermediate,67,1,0,1,0,1,1
Construction,38,Male,South Asia,Lazio,1.9,Intermediate,61,0,0,1,1,1,1
Agriculture,39,Female,North Africa,Lombardia,0.9,Basic,55,0,0,1,0,1,1
Hospitality,36,Male,South Asia,Emilia-Romagna,6.0,Intermediate,50,0,0,1,0,0,1
Hospitality,37,Male,Middle East,Emilia-Romagna,2.3,Basic,55,0,0,1,0,0,1
Agriculture,36,Male,North Africa,Emilia-Romagna,0.9,Basic,64,0,0,1,1,0,0
Hospitality,26,Female,Sub-Saharan Africa,Lombardia,9.4,Intermediate,65,0,0,1,0,1,0
Construction,35,Male,Latin America,Sicilia,0.9,None,51,0,0,1,0,1,1
Agriculture,38,Female,North Africa,Campania,0.5,None,47,0,0,1,0,0,1
Hospitality,38,Female,Sub-Saharan Africa,Lazio,0.5,None,56,0,0,1,0,1,1
Hospitality,41,Male,Latin America,Campania,3.9,Basic,51,0,0,1,1,0,1
Domestic Work,37,Male,Southeast Asia,Campania,4.3,Intermediate,37,0,0,1,0,0,1
Logistics,34,Female,Eastern Europe,Sicilia,1.5,None,60,0,0,1,0,1,1
Logistics,40,Male,South Asia,Puglia,1.5,Intermediate,56,0,0,1,0,1,1
Construction,31,Female,North Africa,Lazio,1.7,None,57,0,0,1,1,1,1
Domestic Work,24,Female,Latin America,Sicilia,4.6,Basic,40,0,0,0,1,1,0
Domestic Work,30,Female,South Asia,Piemonte,0.5,Basic,51,1,1,1,0,1,1
Construction,26,Female,Sub-Saharan Africa,Puglia,10.6,Basic,44,1,0,1,0,1,1
Logistics,26,Female,Southeast Asia,Lazio,1.0,Intermediate,51,0,0,0,0,0,1
Hospitality,30,Female,South Asia,Emilia-Romagna,20.0,Basic,53,0,0,1,0,1,1
Construction,25,Male,Latin America,Lazio,0.8,None,68,1,1,0,0,1,1
Gig Economy,29,Male,North Africa,Sicilia,5.9,Intermediate,56,0,0,1,0,1,1
Gig Economy,18,Male,North Africa,Lombardia,1.0,Basic,58,0,0,1,0,1,1
Domestic Work,33,Female,South Asia,Veneto,0.5,None,59,1,0,1,0,0,1
Hospitality,32,Male,Latin America,Lazio,8.3,Intermediate,80,1,1,0,0,1,1
Gig Economy,25,Female,Sub-Saharan Africa,Lazio,7.8,Intermediate,50,0,0,1,0,0,0
Hospitality,37,Male,North Africa,Emilia-Romagna,2.1,Fluent,66,0,0,1,0,0,0
Gig Economy,39,Female,Eastern Europe,Sicilia,4.8,Fluent,58,0,0,1,0,0,0
Hospitality,19,Male,Eastern Europe,Emilia-Romagna,3.3,Basic,62,1,0,0,1,0,1
Hospitality,25,Female,Middle East,Sicilia,7.7,Fluent,69,1,0,1,0,1,1
Hospitality,25,Male,North Africa,Lazio,1.5,None,51,0,0,1,0,1,1
Agriculture,24,Male,Sub-Saharan Africa,Veneto,3.0,None,56,0,0,1,0,1,1
Agriculture,38,Male,Middle East,Campania,2.7,Intermediate,62,0,0,1,0,0,0
Gig Economy,30,Female,Eastern Europe,Lombardia,1.7,None,48,0,0,1,0,1,1
Domestic Work,29,Male,Sub-Saharan Africa,Veneto,8.9,None,50,1,0,1,0,1,1
Logistics,18,Male,South Asia,Emilia-Romagna,0.7,None,70,0,0,1,0,0,1
Logistics,37,Female,Latin America,Emilia-Romagna,0.6,None,54,0,0,1,0,1,1
Domestic Work,22,Female,Sub-Saharan Africa,Toscana,3.4,Intermediate,45,0,0,0,0,1,1
Hospitality,32,Female,Eastern Europe,Emilia-Romagna,4.3,Intermediate,56,1,1,1,1,1,1
Domestic Work,34,Male,North Africa,Lombardia,0.9,None,46,0,0,1,0,1,1
Hospitality,42,Male,Sub-Saharan Africa,Lombardia,2.0,Basic,39,0,0,1,1,1,0
Domestic Work,21,Female,Eastern Europe,Emilia-Romagna,11.7,Fluent,43,0,0,1,0,0,1
Hospitality,18,Male,South Asia,Lazio,1.1,Intermediate,60,0,0,1,0,1,1
Domestic Work,33,Female,North Africa,Lombardia,4.4,Basic,59,1,0,1,0,1,1
Gig Economy,46,Male,North Africa,Campania,5.4,Fluent,40,0,0,0,0,0,1
Domestic Work,41,Male,North Africa,Veneto,2.4,Intermediate,38,0,0,1,0,1,1
Hospitality,33,Male,Eastern Europe,Lazio,11.1,None,55,0,0,1,0,0,1
Gig Economy,28,Male,Latin America,Toscana,5.3,None,33,1,0,1,0,1,1
Domestic Work,38,Male,Latin America,Emilia-Romagna,2.4,None,44,0,0,1,0,0,1
Gig Economy,24,Male,South Asia,Lazio,3.4,Intermediate,36,0,0,1,1,1,0
Agriculture,35,Female,Sub-Saharan Africa,Piemonte,4.7,Basic,70,0,0,1,0,1,1
Agriculture,36,Male,North Africa,Emilia-Romagna,3.6,Intermediate,53,0,0,1,1,0,1
Gig Economy,40,Female,Middle East,Emilia-Romagna,8.4,Basic,63,1,0,1,0,1,0
Agriculture,54,Female,Latin America,Veneto,1.8,Fluent,68,1,0,1,0,0,1
Gig Economy,35,Male,Latin America,Lombardia,1.4,Basic,44,0,0,1,0,1,1
Domestic Work,27,Male,Sub-Saharan Africa,Toscana,1.0,Intermediate,39,0,0,1,0,0,1
Hospitality,31,Female,North Africa,Campania,0.5,Intermediate,53,0,0,1,0,0,1
Logistics,18,Male,North Africa,Puglia,0.5,None,57,0,0,1,0,0,1
Domestic Work,26,Female,South Asia,Piemonte,8.2,Intermediate,50,1,1,0,0,1,0
Domestic Work,28,Female,South Asia,Emilia-Romagna,4.5,None,41,1,0,1,0,1,0
Gig Economy,27,Female,Middle East,Lazio,4.3,Fluent,55,0,0,1,0,1,0
Agriculture,33,Male,Sub-Saharan Africa,Lazio,3.8,Intermediate,62,0,0,1,0,1,1
Logistics,25,Male,Sub-Saharan Africa,Lazio,7.6,None,55,0,0,0,0,1,1
Hospitality,40,Female,South Asia,Veneto,2.6,None,49,0,0,1,0,0,1
Gig Economy,32,Male,Southeast Asia,Lazio,8.2,Intermediate,48,0,0,0,0,0,0
Logistics,31,Female,North Africa,Veneto,1.8,Fluent,51,0,0,1,0,1,1
Gig Economy,29,Male,Eastern Europe,Lombardia,10.5,Intermediate,50,0,0,1,1,0,1
Hospitality,33,Male,Southeast Asia,Calabria,4.8,Fluent,55,1,0,1,0,0,1
Domestic Work,38,Female,Sub-Saharan Africa,Lombardia,1.2,Basic,50,0,0,1,0,1,1
Domestic Work,25,Male,Eastern Europe,Puglia,3.3,None,62,0,0,0,0,1,1
Agriculture,26,Male,South Asia,Puglia,3.0,Fluent,58,1,0,1,1,1,1
Gig Economy,29,Male,Sub-Saharan Africa,Veneto,0.6,None,58,0,0,1,0,0,1
Logistics,21,Female,Latin America,Toscana,3.6,Fluent,59,1,0,1,0,0,1
Construction,25,Male,Latin America,Campania,1.5,Basic,53,0,0,1,1,1,1
Agriculture,28,Female,Sub-Saharan Africa,Emilia-Romagna,0.5,None,59,0,0,1,0,1,1
Hospitality,38,Male,Sub-Saharan Africa,Lazio,11.9,Intermediate,54,1,1,0,0,1,1
Domestic Work,34,Female,North Africa,Lazio,4.1,Fluent,50,0,0,1,0,1,1
Construction,33,Female,South Asia,Emilia-Romagna,8.4,Fluent,47,0,0,0,1,1,1
Domestic Work,38,Male,Sub-Saharan Africa,Veneto,4.5,Basic,36,1,0,1,0,1,1
Agriculture,30,Male,Sub-Saharan Africa,Emilia-Romagna,1.8,None,65,0,0,1,0,1,1
Agriculture,35,Male,Sub-Saharan Africa,Lazio,2.9,Basic,67,1,0,1,0,1,1
Gig Economy,31,Female,Latin America,Campania,4.5,Intermediate,55,1,0,0,1,0,1
Domestic Work,34,Male,Sub-Saharan Africa,Lombardia,12.9,Fluent,49,0,0,1,0,1,0
Domestic Work,27,Female,Sub-Saharan Africa,Lombardia,1.2,None,54,0,0,1,0,0,1
Hospitality,18,Male,North Africa,Lazio,8.3,Fluent,60,0,0,0,0,0,0
Hospitality,30,Male,Southeast Asia,Lombardia,10.3,Intermediate,61,1,0,1,0,0,0
Logistics,43,Male,Sub-Saharan Africa,Lombardia,4.4,Intermediate,51,0,0,1,0,0,1
Construction,39,Male,South Asia,Piemonte,10.7,Intermediate,46,0,0,1,0,0,0
Domestic Work,39,Male,Sub-Saharan Africa,Lombardia,2.0,Basic,44,0,0,0,0,0,1
Hospitality,41,Female,Eastern Europe,Emilia-Romagna,12.2,Fluent,54,1,0,0,0,1,0
Gig Economy,32,Female,North Africa,Lazio,4.9,Intermediate,48,0,0,1,1,0,1
Logistics,33,Male,Latin America,Sicilia,0.5,Intermediate,42,0,0,1,0,1,0
Domestic Work,27,Female,Middle East,Veneto,9.5,Fluent,61,1,1,0,1,1,1
Construction,29,Female,Latin America,Lazio,2.7,Basic,52,0,0,1,0,1,0
Construction,36,Female,Eastern Europe,Veneto,2.5,Basic,56,0,0,0,0,1,1
Gig Economy,41,Male,North Africa,Campania,3.3,None,59,0,0,0,0,0,0
Gig Economy,30,Male,South Asia,Veneto,0.6,None,31,0,0,1,0,1,1
Logistics,28,Male,Middle East,Lombardia,2.5,None,53,0,0,1,0,0,1
Hospitality,32,Female,Sub-Saharan Africa,Calabria,7.1,Basic,51,0,0,1,0,1,1
Domestic Work,36,Male,South Asia,Campania,0.5,None,45,0,0,1,1,1,1
Construction,20,Male,Eastern Europe,Lazio,1.3,Basic,53,0,0,1,0,0,1
Domestic Work,18,Male,Sub-Saharan Africa,Toscana,0.5,None,59,0,0,1,0,1,1
Domestic Work,27,Male,North Africa,Campania,2.1,Basic,53,0,0,1,0,0,1
Gig Economy,22,Male,North Africa,Sicilia,5.2,None,57,1,1,1,0,1,0
Construction,27,Male,North Africa,Campania,6.4,None,55,0,0,1,1,0,1
Domestic Work,30,Male,Latin America,Toscana,11.6,Intermediate,36,1,0,0,0,1,0
Construction,28,Male,Sub-Saharan Africa,Lombardia,3.8,Intermediate,38,0,0,0,0,0,1
Hospitality,43,Female,North Africa,Sicilia,1.2,Basic,42,0,0,1,0,1,1
Gig Economy,34,Female,North Africa,Toscana,10.3,Intermediate,52,1,0,1,0,0,0
Hospitality,34,Female,Eastern Europe,Lazio,6.0,Fluent,55,1,0,1,0,1,1
Domestic Work,36,Female,Latin America,Lombardia,3.4,Basic,46,0,0,0,0,1,1
Agriculture,22,Male,Sub-Saharan Africa,Lazio,4.8,Intermediate,57,0,0,1,0,1,1
Hospitality,40,Male,Eastern Europe,Calabria,10.3,Fluent,71,0,0,1,0,0,1
Agriculture,31,Female,South Asia,Lazio,5.0,Intermediate,53,0,0,1,0,1,1
Agriculture,37,Female,Middle East,Campania,1.8,Basic,67,0,0,1,0,1,1
Logistics,23,Male,Sub-Saharan Africa,Lombardia,5.0,Intermediate,58,0,0,1,0,1,1
Hospitality,19,Male,Eastern Europe,Campania,0.5,None,54,0,0,1,0,1,1
Agriculture,38,Male,South Asia,Emilia-Romagna,2.0,Basic,69,1,0,1,1,0,1
Gig Economy,35,Male,Sub-Saharan Africa,Puglia,2.1,Fluent,61,0,0,0,0,1,1
Construction,24,Male,North Africa,Veneto,0.7,Basic,53,0,0,1,1,0,1
Gig Economy,25,Male,Southeast Asia,Piemonte,0.5,Intermediate,56,0,0,1,1,0,0
Domestic Work,41,Female,North Africa,Veneto,0.6,None,50,0,0,1,0,1,1
Gig Economy,22,Male,Southeast Asia,Lombardia,4.3,Fluent,50,0,0,1,0,0,1
Gig Economy,45,Male,North Africa,Lazio,6.5,Intermediate,51,0,0,1,0,0,0
Domestic Work,24,Male,North Africa,Emilia-Romagna,17.8,None,42,0,0,1,0,1,1
Gig Economy,37,Female,South Asia,Puglia,1.7,Basic,47,0,0,1,0,0,1
Hospitality,29,Male,Latin America,Sicilia,3.7,Basic,50,0,0,0,0,1,1
Hospitality,36,Male,Sub-Saharan Africa,Lazio,11.1,None,62,1,0,1,0,0,1
Construction,27,Male,Southeast Asia,Lazio,0.7,Basic,54,0,0,1,0,1,1
Agriculture,30,Male,Southeast Asia,Lazio,5.1,Basic,49,0,0,1,1,1,1
Agriculture,32,Female,Middle East,Puglia,5.6,Intermediate,54,0,0,1,0,1,1
Hospitality,23,Female,North Africa,Sicilia,0.5,None,29,0,0,0,1,0,1
Hospitality,37,Male,Eastern Europe,Piemonte,7.9,Basic,51,1,0,1,0,1,1
Hospitality,27,Male,Latin America,Campania,6.7,Fluent,55,0,0,1,0,0,1
Logistics,30,Female,South Asia,Veneto,0.5,None,56,0,0,1,0,1,1
Gig Economy,24,Male,Eastern Europe,Campania,0.5,Basic,65,0,0,1,1,1,1
Logistics,18,Male,South Asia,Lazio,0.5,Basic,62,0,0,1,0,1,1
Gig Economy,30,Male,North Africa,Veneto,1.6,Basic,54,1,1,1,0,0,1
Domestic Work,51,Female,South Asia,Lombardia,2.8,Intermediate,34,1,1,1,0,0,1
Logistics,38,Male,Sub-Saharan Africa,Lombardia,3.0,Intermediate,55,1,0,1,0,0,0
Gig Economy,31,Male,Sub-Saharan Africa,Sicilia,1.2,Basic,46,0,0,1,0,0,0
Construction,29,Female,North Africa,Piemonte,9.7,Fluent,48,0,0,1,1,1,1
Logistics,32,Male,Eastern Europe,Campania,1.8,None,51,0,0,0,1,0,1
Agriculture,36,Male,South Asia,Veneto,0.5,Basic,45,0,0,1,0,0,1
Domestic Work,22,Female,North Africa,Campania,1.4,Fluent,37,1,0,1,0,0,0
Domestic Work,40,Male,Sub-Saharan Africa,Toscana,3.0,Intermediate,54,0,0,1,1,0,1
Hospitality,37,Male,North Africa,Piemonte,2.1,Intermediate,53,0,0,0,1,1,1
Domestic Work,37,Male,Eastern Europe,Piemonte,1.3,Basic,43,0,0,1,0,0,1
Gig Economy,35,Male,North Africa,Toscana,0.6,Basic,49,0,0,1,0,1,1
Logistics,32,Male,Eastern Europe,Lazio,6.8,Fluent,67,1,0,1,0,0,1
Gig Economy,37,Male,Sub-Saharan Africa,Lazio,20.0,Basic,50,0,0,1,0,1,1
Domestic Work,36,Male,Latin America,Campania,1.6,None,52,0,0,1,0,1,1
Gig Economy,29,Female,North Africa,Lazio,1.9,Basic,43,0,0,0,0,1,1
Logistics,27,Male,North Africa,Piemonte,3.8,Intermediate,53,1,0,1,0,1,1
Agriculture,32,Male,Eastern Europe,Lazio,5.1,Basic,62,0,0,1,0,1,1
Hospitality,44,Male,South Asia,Lombardia,2.0,None,70,0,0,1,0,1,1
Hospitality,22,Female,Eastern Europe,Campania,9.4,Intermediate,66,1,0,0,0,1,0
Hospitality,20,Male,Eastern Europe,Calabria,3.3,Fluent,59,0,0,1,0,1,1
Hospitality,33,Male,Sub-Saharan Africa,Lazio,2.4,Basic,56,0,0,1,1,0,1
Hospitality,32,Male,South Asia,Emilia-Romagna,4.2,Basic,66,1,0,1,0,1,1
Hospitality,33,Male,South Asia,Campania,12.2,Basic,61,0,0,1,0,1,1
Agriculture,33,Male,Southeast Asia,Lombardia,6.3,Intermediate,41,0,0,1,1,1,1
Hospitality,30,Female,Eastern Europe,Veneto,0.5,None,46,1,0,1,0,1,1
Logistics,43,Male,South Asia,Toscana,1.6,None,60,0,0,0,0,1,1
Domestic Work,19,Male,Sub-Saharan Africa,Veneto,2.5,Intermediate,33,1,0,1,1,0,1
Gig Economy,25,Male,North Africa,Sicilia,1.5,Fluent,42,1,0,1,0,0,1
Agriculture,31,Female,Latin America,Lazio,4.8,Basic,54,0,0,1,0,1,1
Hospitality,18,Male,South Asia,Lombardia,7.0,None,52,0,0,1,0,0,1
Hospitality,30,Male,Sub-Saharan Africa,Puglia,5.3,Basic,52,0,0,1,0,1,1
Hospitality,45,Male,Southeast Asia,Campania,18.2,Intermediate,52,0,0,0,0,1,1
